HSN Code(4 Digit),HSN Code(8 Digit),Product Group Name,GST Rate
2208,22087011,,0%
2208,22087010,-,0%
2208,22085093,-,0%
2208,22086000,-,0%
2208,22087020,-,0%
2204,2204,-,0%
2205,2205,-,0%
2208,2208,-,0%
2208,22082020,-,0%
2208,22082090,-,0%
2208,22083020,-,0%
2208,22083030,-,0%
2208,22083090,-,0%
2208,22083010,-,0%
2208,22084010,-,0%
2208,22084020,-,0%
2208,22085010,-,0%
2208,22085011,-,0%
2208,22085020,-,0%
1519,1519,-,0%
503,503,-,0%
2851,2851,-,18%
8713,8713,-,5%
1402,1402,-,0%
2208,22089010,-,0%
2208,22089020,-,0%
2208,22089090,-,0%
6906,6906,"CERAMIC PIPES, CONDUITS, GUTTERING AND PIPE FITTINGS",18%
4812,4812,"FILTER BLOCKS, SLABS AND PLATES, OF PAPER PULP",18%
9104,9104,"INSTRUMENT PANEL CLOCKS AND CLOCKS OF A SIMILAR TYPE FOR VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS",18%
4502,4502,"NATURAL CORK, DEBACKED OR ROUGHLY SQUARED, OR IN RECTANGULAR (INCLUDING SQUARE) BLOCKS, PLATES, SHEETS OR STRIP (INCLUDING SHARP-EDGED BLANKS FOR CORKS OR STOPPERS)",0%
9206,9206,"PERCUSSION MUSICAL INSTRUMENTS (FOR EXAMPLE, DRUMS, XYLOPHONES, CYMBOLS, CASTANETS, MARACAS)",0%
8413,84133020,"- PUMPS FOR LIQUIDS, WHETHER OR NOT FITTED WITH A MEASURING DEVICE; LIQUID ELEVATORS - FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES: OIL PUMP",28%
8413,84133090,"- PUMPS FOR LIQUIDS, WHETHER OR NOT FITTED WITH A MEASURING DEVICE; LIQUID ELEVATORS - FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES: OTHER",28%
8413,84133030,"- PUMPS FOR LIQUIDS, WHETHER OR NOT FITTED WITH A MEASURING DEVICE; LIQUID ELEVATORS - FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES: WATER PUMP",28%
7413,7413,"STRANDED WIRE, CABLES, PLATED BANDS AND THE LIKE, OF COPPER, NOT ELECTRICALLY INSULATED",18%
4705,4705,WOOD PULP OBTAINED BY A COMBINATION OF MECHANICAL AND CHEMICAL PULPING PROCESSES,0%
2931,29313600,"(5-Ethyl-2-methyl-2-oxido-1, 3, 2-dioxaphosphinan-5-yl)methyl methylphosphonate",18%
2710,2710,"(A) Kerosene Oil Pds, (B) The Following Bunker Fuels For Use In Ships Or Vessels, Namely, I. Ifo 180 Cst, Ii. Ifo 380 Cst, Iii. Marine Fuel 0.5% (Fo)",5%
5004,50040010,(OTHER THAN YARN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE : 100 PERCENT MULBERRY DUPION SILK YARN,5%
77,77,(Reserved for possible future use),0%
3204,32041511,"(SYNTHETIC ORGANIC COLOURING MATTER, WHETHER OR NOT CHEMICALLY DEFINED; PREPARATIONS AS SPECIFIED IN NOTE 3 TO THIS CHAPTER BASED ON SYNTHETIC ORGANIC COLOURING MATTER; SYNTHETIC ORGANIC PRODUCTS OF A KIND USED AS FLUORESCENT BRIGHTENING AGENTS OR AS LUMI",18%
48,48,(waste and scrap) paper or paperboard,0%
304,3043300,0%E PERCH (LATES 0%OTICUS),5%
304,3046300,0%E PERCH (LATES 0%OTICUS),5%
2931,29310061,"1 PROPANAMINIUM N,N,N TRIMETHYL 3-[1-OXO-9-OCTADECENYL AMINO] -(Z)-METHYL METHYL PHOSPHONATE",18%
2909,29094920,1-(4-phenoxyphenoxy) propan-2-ol,18%
8523,85234150,1/2 INCH VIDEO CASSETTE SUITABLE TO WORK WITH DIGITAL VCR,18%
8523,85234970,1/2 INCH VIDEO CASSETTE SUITABLE TO WORK WITH DIGITAL VCR,18%
9022,90221410,"14 APPARATUS BASED ON THE USE OF X-RAYS OR OF ALPHA, BETA OR GAMMA RADIATIONS, WHETHER OR NOT FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY USES, INCLUDING RADIOGRAPHY OR RADIOTHERAPY APPARATUS, X-RAY TUBES AND OTHER X-RAY GENERATORS, HIGH TENSION GENERATOR",0%
9022,90221420,"14 APPARATUS BASED ON THE USE OF X-RAYS OR OF ALPHA, BETA OR GAMMA RADIATIONS, WHETHER OR NOT FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY USES, INCLUDING RADIOGRAPHY OR RADIOTHERAPY APPARATUS, X-RAY TUBES AND OTHER X-RAY GENERATORS, HIGH TENSION GENERATOR",0%
9022,90221490,"14 APPARATUS BASED ON THE USE OF X-RAYS OR OF ALPHA, BETA OR GAMMA RADIATIONS, WHETHER OR NOT FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY USES, INCLUDING RADIOGRAPHY OR RADIOTHERAPY APPARATUS, X-RAY TUBES AND OTHER X-RAY GENERATORS, HIGH TENSION GENERATOR",0%
2933,29333930,"1-AZABICYCLO(2,2,2)OCTAN-3-OL",18%
2914,29147910,1-chloro anthraquinone,18%
2921,292145,"1-Naphthylamine (alpha-naphthylamine), 2-Naphthylamine (betanaph thylamine) and their derivatives; salts thereof",18%
2903,29033011,"1-PROPENDE, 1,1,3,3,3,-PENTAFLUORO-2(TRIFLUOROMETHYL(PFIB)",18%
2930,29306000,"2-(N, N-Diethylamino)ethanethiol",18%
2921,29211300,"2-(N, N-Diethylamino)ethylchloride hydrochloride",18%
2922,29221800,"2-(N, N-Diisopropylamino) ethanol",18%
2921,29211400,"2-(N, N-Diisopropylamino)ethylchloride hydrochloride",18%
2918,29181700,"2, 2-Diphenyl-2-hydroxyacetic acid (benzilic acid)",18%
2931,29313500,"2, 4, 6-Tripropyl-1, 3, 5, 2, 4, 6-trioxatriphosphinane 2, 4, 6-trioxide",18%
2904,29049910,"2, 5 dichloronitrobenzene",18%
2933,29336950,"2,4,6-tri(2,4-dygydroxyl-3-methylphenyl)-1,3,5-triazine",18%
9019,90192010,"20 MECHANO-THERAPY APPLIANCES; MASSAGE APPARATUS; PSYCHOLOGICAL APTITUDE-TESTING APPARATUS; OZONE THERAPY, OXYGEN THERAPY, AEROSOL THERAPY, ARTIFICIAL RESPIRATION OR OTHER THERAPEUTIC RESPIRATION APPARATUS- OZONE THERAPY, OXYGEN THERAPY, AEROSOL THERAPY,",0%
9019,90192090,"20 MECHANO-THERAPY APPLIANCES; MASSAGE APPARATUS; PSYCHOLOGICAL APTITUDE-TESTING APPARATUS; OZONE THERAPY, OXYGEN THERAPY, AEROSOL THERAPY, ARTIFICIAL RESPIRATION OR OTHER THERAPEUTIC RESPIRATION APPARATUS- OZONE THERAPY, OXYGEN THERAPY, AEROSOL THERAPY,",0%
3920,39202020,"20 OTHER PLATES, SHEETS, FILM, FOIL AND STRIP, OF PLASTICS, NON - CELLULAR AND NOT REINFORCED, LAMINATED, SUPPORTED OR SIMILARLY COMBINED WITH OTHER MATERIALS - OF POLYMERS OF PROPYLENE :FLEXIBLE, PLAIN",18%
3920,39202090,"20 OTHER PLATES, SHEETS, FILM, FOIL AND STRIP, OF PLASTICS, NON - CELLULAR AND NOT REINFORCED, LAMINATED, SUPPORTED OR SIMILARLY COMBINED WITH OTHER MATERIALS - OF POLYMERS OF PROPYLENE :OTHER",18%
3920,39202010,"20 OTHER PLATES, SHEETS, FILM, FOIL AND STRIP, OF PLASTICS, NON - CELLULAR AND NOT REINFORCED, LAMINATED, SUPPORTED OR SIMILARLY COMBINED WITH OTHER MATERIALS - OF POLYMERS OF PROPYLENE :RIGID, PLAIN",18%
7102,71022110,"21 DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - INDUSTRIAL : UNWORKED OR SIMPLY SAWN, CLEAVED OR BRUTED: SORTED",0%
7102,71022120,"21 DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET - INDUSTRIAL : UNWORKED OR SIMPLY SAWN, CLEAVED OR BRUTED: UNSORTED",0%
4407,44072990,"29 WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, WHETHER OR NOT PLANED, SANDED OR ENDJOINTED, OF A THICKNESS EXCEEDING 6 MM - OF TROPICAL WOOD SPECIFIED IN SUB-HEADING NOTE 1 TO THIS CHAPTER : OTHER : OTHER",18%
4407,44072910,"29 WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, WHETHER OR NOT PLANED, SANDED OR ENDJOINTED, OF A THICKNESS EXCEEDING 6 MM - OF TROPICAL WOOD SPECIFIED IN SUB-HEADING NOTE 1 TO THIS CHAPTER : OTHER : TEAK WOOD",18%
2905,29051910,"2-BUTANOL, 3, 3-DIMETHYL-",18%
2921,29211910,"2-Chloro N, N-Diisopropyl ethylamine",18%
2921,29211911,"2-CHLORO N, N-DI-ISOPROPYL ETHYLAMINE",18%
2921,29211920,"2-Chloro N, N-Dimethyl ethanamine",18%
2921,29211913,"2-CHLORO N,N-DI-ISOPROPYL ETHYLAMINE AND ETHANAMINE,2-CHLORO-N,N-DIMETHYL N,N-DIETHYL AMINO ETHYL CHLORIDE HYDROCHLORIDE, DI-METHYL AMINO ETHYLCHLORIDE HYDROCHLORIDE - - - - DI-METHYL AMINO ETHYL CHLORIDE HYDROCHLORIDE",18%
2921,29211912,"2-CHLORO N,N-DI-ISOPROPYL ETHYLAMINE AND ETHANAMINE,2-CHLORO-N,N-DIMETHYL N,N-DIETHYL AMINO ETHYL CHLORIDE HYDROCHLORIDE, DI-METHYL AMINO ETHYLCHLORIDE HYDROCHLORIDE - - - -N,N-DIETHYL AMINO ETHYL CHLORIDE HYDROCHLORIDE",18%
2922,29221940,"2-HYDROXY N,N-DI-ISOPROPYL ETHYLAMINE",18%
